id,title,requirement,responsibility,tokens
120298413,QA Engineer,"Знание методологий тестирования и опыт составления тест-кейсов. Навыки автоматизации тестирования на <highlighttext>Python</highlighttext>, опыт работы с Git. Понимание процессов разработки...","Разработка тестовых сценариев и планов тестирования для программного обеспечения . Автоматизация тестирования с использованием современных. Инструментов и технологий. Выявление, регистрация и...",знание методология тестирование опыт составление тест - кейс навык автоматизация тестирование python опыт работа git понимание процесс разработка
120223072,Frontend-разработчик (Middle),"Плюсами будут: Опыт работы с Typescript. Владение техниками тестирования кода (в том числе BDD, TDD). Владение <highlighttext>python</highlighttext>, docker, nginx.",В обязанности входит разработка SPA приложений и web-сервисов для продуктов компании.,плюс опыт работа typescript владение техник тестирование код число bdd tdd владение python docker nginx
120313069,Заместитель директора департамента информационных технологий,"Опыт работы с Wireguard, Ansible, Zabbix, Grafana, Terraform. Владение <highlighttext>Python</highlighttext> или опыт разработки скриптов для автоматизации. Понимание устройства Anycast-сетей...","Руководство IT подразделением 250 человек, а также создание и реализация комплексной IT-стратегии как части общей бизнес-стратегии. ",опыт работа wireguard ansible zabbix grafana terraform владение python опыт разработка скрипт автоматизация понимание устройство anycast - сеть
120262714,Специалист по работе с геоданными,"Умение проводить анализ данных (Data Analysis, системный анализ). Знание <highlighttext>Python</highlighttext> для автоматизации обработки данных. Автоматизация ETL-процессов (например, конвертация данных...",Обработка и анализ геопространственных данных. Разработка и оптимизация SQL-запросов. Взаимодействие с ГИС-инструментами (QGIS). Документирование процессов и результатов анализа. ,умение анализ данных data analysis анализ знание python автоматизация обработка данных автоматизация etl - процесс конвертация данных
120318103,Junior Python-developer (Python разработчик),"Уверенные навыки написания кода на <highlighttext>Python</highlighttext>. - Знание REST API и одного из популярных веб-фреймворков (Django, FastAPI). - Навыки работы с...",,навык написание код python знание rest api веб - фреймворков django fastapi навык работа
119867664,Java разработчик (Java+SpringBoot+Kotlin),"Знание системы контроля версий Git. Будет плюсом: - Знание и опыт работы с <highlighttext>Python</highlighttext>, Apache Airflow и Greenplum. - Опыт написания интеграционных...",,знание система контроль версия git плюс знание опыт работа python apache airflow greenplum опыт написание
120311606,Python-разработчик (Fastapi),Опыт коммерческой разработки на <highlighttext>Python</highlighttext> (3.9 и выше) или готовность перехода с другого стека - от 2 лет. ,Создание сервисов для автоматизации бизнес-процессов. Разработка функционала от простых CRUD-эндпоинтов до сложной бизнес-логики. Участие в проектировании гибкой...,опыт разработка python готовность переход стек год
120236111,Аналитик,"Способность к быстрому обучению, аналитическое мышление. ПО: MS Excel - продвинутый пользователь, <highlighttext>Python</highlighttext> и SQL понимание кода. Опыт работы в СМИ...",Исследование и анализ аудитории рынка ТВ. Анализ и прогноз sell-out рекламного инвентаря. Анализ больших объемов данных с выявлением закономерностей. ,способность обучение мышление по ms excel пользователь python sql понимание код опыт работа сми
120243921,Frontend-разработчик,"JavaScript/TypeScript. React/Next.js. GitLab CI/CD. Отличное знание CSS3 и HTML5 (дизайнеры предоставят макеты, ваша задача — верстка). ",Разработка FrontEnd для наших проектов. Проведение code-review. Написание документации. Поддержка существующих проектов и создание нового функционала.,javascript typescript react next js gitlab ci cd знание css html дизайнер макет задача вёрстка
120281966,Аналитик данных (стажер),"Внимательность, аккуратность, системность. Умение работать с таблицами и хотя бы базовый SQL. Готовность заниматься рутиной на старте. Мотивация улучшать процессы...","Ведение вспомогательных табличек и документации. Работа с SQL (и/или Google Sheets, <highlighttext>Python</highlighttext>, если умеешь). В будущем — инициирование и реализация...",внимательность аккуратность системность умение таблицами sql готовность старт мотивация процесс
120304694,Fullstack тестировщик (Middle),"Опыт тестирования ПО от 3 лет. Опыт в реализации автотестов от 1 года. <highlighttext>Python</highlighttext>, pytest, HTTP, HTML, SQL, JSON.","Проведение тестирования продукта на соответствие заявленным требованиям. Анализ результатов, полученных во время прохождения тестов. Оформление и проведение ревью тестовых сценариев. ",опыт тестирование по год опыт реализация автотестов год python pytest http html sql json
120267083,Middle QA-инженер,Знаете и умеете применять теорию и техники тестирования web и mobile. Обладаете развитыми коммуникативными навыками. Умеете работать в команде. ,Коммуницировать с командой разработки. Разрабатывать тест-кейсы совместно с руководителем проекта. Вести документацию по тестированию. Составлять чек-листы по проектам. ,теория техника тестирование web mobile обладаете навык команда
120344593,Аналитик данных (Data analyst),"Уверенные навыки программирования на <highlighttext>Python</highlighttext> (в частности: pandas, numpy, sqlalchemy, airflow — желательно). Отличное знание SQL (CTE, оконные функции, оптимизация запросов). ","Разработка аналитических скриптов и автоматизация обработки данных (<highlighttext>Python</highlighttext>, SQL). Работа с базами данных: написание сложных SQL-запросов, оптимизация производительности. ",навык программирование python частность pandas numpy sqlalchemy airflow знание sql cte функция оптимизация запрос
117246175,Инженер по тестированию ПО,"Опыт тестирования от 2 лет (желательно backend приложений). Опыт проведения функционального, интеграционного, нагрузочного тестирования. Опыт работы на Linux. ","Подготовка тестовой документации (тест-планы, тест-кейсы, комплекты тестов, методики испытаний для ПМИ и т.п.). Проведение тестирования: приёмочного, функционального...",опыт тестирование год backend приложение опыт проведение тестирование опыт работа linux
120236883,Python-разработчик,"Опыт коммерческой разработки на <highlighttext>Python</highlighttext> от 1 года. Навыки веб-парсинга (Requests, BeautifulSoup, AIOHTTP, playwright). Опыт работы с PostgreSQL. ","Разработка и поддержка парсеров спортивной статистики (футбол, хоккей, теннис и другие дисциплины). Мониторинг и обеспечение бесперебойной работы парсеров. ",опыт разработка python год навык веб - парсинга requests beautifulsoup aiohttp playwright опыт работа postgresql
120236746,Старший QA инженер,"Опыт работы с low-code платформами. Знание основ программирования (SQL, <highlighttext>Python</highlighttext>, JavaScript и др.). Опыт работы в государственных структурах или...","Разработка стратегии тестирования (тест-планы, тест-кейсы). Организация и проведение тестирования low-code решений (функциональное, интеграционное, регрессионное). Анализ результатов тестирования...",опыт работа low - code платформами знание основа программирование sql python javascript опыт работа структура
120346249,Продуктовый аналитик,"Уверенные скиллы в SQL (сложные запросы, аналитические функции). Уверенное владение <highlighttext>Python</highlighttext> для анализа данных, базовое понимание ETL-процессов. ","Помогать команде в запуске и развитии продуктов и принятии бизнес-решений, плотно работать с продуктом на всех этапах. ",скиллы sql запрос функция владение python анализ данных понимание etl - процесс
120241196,Python-разработчик (Junior),"Опыт работы с <highlighttext>Python</highlighttext> от 1-ого года. Знание MySQL, Redis. Опыт работы с Linux. Знание Git, Docker. ",Продумыванием техническую реализацию задач уровня фич. Основной пул задач связан с разработкой новых и поддержкой уже имеющихся сервисов на <highlighttext>Python</highlighttext>.,опыт работа python год знание mysql redis опыт работа linux знание git docker
120199443,QA engineer,"Знание основ электротехники, пневматики, схемотехники и промышленных протоколов связи (Profibus, Profinet, Ethernet/IP). Базовые знания <highlighttext>Python</highlighttext> для написания скриптов тестирования...","Разработка и проведение тестов для робототехнических систем, включая функциональное, интеграционное и стресс-тестирование. Анализ работы оборудования и ПО, выявление неисправностей...",знание основа электротехника пневматика схемотехники протокол связь profibus profinet ethernet ip знание python написание скрипт тестирование
120312864,Rust разработчик,"Опыт работы с Rust. Опыт работы с <highlighttext>Python</highlighttext>. Понимание основ работы почтовых и сетевых протоколов (SMTP, HTTP, TCP). ",Managed Extended Detection and Response (MXDR) – это комплексная система для обнаружения сложных целевых атак и проактивного хантинга угроз. ,опыт работа rust опыт работа python понимание основа работа протокол smtp http tcp
119269338,Инженер-программист,"Умение разбираться в схемах, технической документации и находить в них логику. - Навыки программирования (JavaScript, <highlighttext>Python</highlighttext> — плюс, но не обязательны). - ","Разрабатывать интуитивно понятные интерфейсы управления залами. - Анализировать работу оборудования, выявлять слабые места, находить лучшие решения. - Решать сложные технические задачи, структурируя...",умение схема документация логика навык программирование javascript python
119881737,Младший аналитик,Высшее образование в области информационных технологий или смежных областей. Опыт работы с данными. Владение SQL и <highlighttext>Python</highlighttext>.,Осуществлять анализ данных. Разрабатывать отчёты в BI системе. Формировать требования к отчётам.,образование область технология область опыт работа данными владение sql python
120305174,Руководитель отдела обеспечения качества (QA)/QA Lead,Высшее техническое образование. Опыт управления от 3-х лет. Опыт в тестировании ПО от 5-ти лет.,"Управление отделом из 7 инженеров (распределение задач, контроль их выполнения и т.д.). Проведение performance review, составление матрицы компетенций и...",образование опыт управление год опыт тестирование по год
115982309,Senior Python developer,"Опыт коммерческой разработки на <highlighttext>Python</highlighttext> от 3 лет. Понимание ООП, паттернов проектирования и алгоритмов. Умение работать с асинхронным кодом. ","Участие в проектировании, разработке и поддержке высоконагруженных сервисов/микросервисов. Code review в команде. Разработка юнит-тестов и тестирование собственного кода...",опыт разработка python год понимание ооп паттерн проектирование алгоритм умение код
120236562,Junior Python-разработчик,"Крепкие знания <highlighttext>Python</highlighttext> 3. Опыт работы с Django/Flask, FastAPI. Опыт работы с базами данных. Основы работы с Git или...",Участвовать в разработке программных продуктов под ключ. Анализировать требования. Работать с базами данных и писать запросы SQL. Изучать новых технологий.,знание python опыт работа django flask fastapi опыт работа база данных основа работа git
119207853,QA engineer,"Знание основ электротехники, пневматики, схемотехники и промышленных протоколов связи (Profibus, Profinet, Ethernet/IP). Базовые знания <highlighttext>Python</highlighttext> для написания скриптов тестирования...","Разработка и проведение тестов для робототехнических систем, включая функциональное, интеграционное и стресс-тестирование. Анализ работы оборудования и ПО, выявление неисправностей...",знание основа электротехника пневматика схемотехники протокол связь profibus profinet ethernet ip знание python написание скрипт тестирование
118676373,Тестировщик,"Понимание основных принципов REST API, базовое знание HTTP. Начальное знание <highlighttext>Python</highlighttext> (понимание таких тем, как: условные операторы, циклы, методы строк...","Тестировать API, backend, frontend, требования UX|UI ПО. Анализировать данные веб-трафика (логи). Подготавливать тестовые данные. Настраивать тестовое окружение. ",понимание принцип rest api знание http знание python понимание оператор цикл метод строка
120311917,Программист-разработчик (Python),"Навыки работы с системами управления проектами и задачами. Владение программами: Знание <highlighttext>Python</highlighttext> и его популярных фреймворков (например, Django, Flask, FastAPI). ","Участие в создании новых проектов. Поддержка работы сервисов. Интеграция с внешними сервисами и API, такими как почтовые сервисы, платежные протоколы...",навык работа система управление проект задача владение программа знание python фреймворк django flask fastapi
120103301,Middle data scientist (маркетинг),"Опыт работы с <highlighttext>Python</highlighttext> и ML моделями от 1 года. Уверенное владение <highlighttext>Python</highlighttext> (Pandas, Numpy, LightGBM, Scikit-learn и т...",Выполнение полного цикла разработки ML-моделей для различных направлений деятельности банка. Сбор и анализ данных из разных источников. ,опыт работа python ml модель год владение python pandas numpy lightgbm scikit - learn
120202348,Junior Data Engineer,Знание SQL (проверяется тестированием). Аналитическое мышление. Умение работы в команде.,"Сопровождение DataLake. Разработка ETL. Разработка и автоматизация форм отчетности, витрин данных.",знание sql тестирование мышление умение работа команда
120246487,Заместитель директора IT департамента (CTO),"Образование - высшее, желательно в сфере ИТ или менеджмента. Опыт работы - не менее 5 лет, в должности руководителя - не менее 2...","В области инфраструктуры: K8S, Nvidia Triton, Grafana, Prometheus. В области разработки: <highlighttext>Python</highlighttext>, PHP, Golang, C++. В области машинного...",образование сфера ит менеджмент опыт работа год должность руководитель
120220633,Дата Саентист (Data Scientist),"Опыт применения методов Feature Engineering. Знание <highlighttext>Python</highlighttext> (Pandas, NumPy, scikit-learn). Глубокие знания SQL и опыт работы с реляционными базами...",Обработка больших массивов данных: очистка и трансформация. Анализ данных и выявление закономерностей. Разработка и внедрение прогнозных моделей для определения цен...,опыт применение метод feature engineering знание python pandas numpy scikit - learn знание sql опыт работа база
120171387,Backend-разработчик (junior),"Имеете опыт работы в системном администрировании (настройка сетей). Знаете языки программирования <highlighttext>Python</highlighttext>, C++, язык запросов SQL. Знаете протоколы HTTP, WS...","Исправление возникающих ошибок в ПО, разработанном для ПАК Geoscan Arena. Работа с ПО серверной стойки: nginx, Stun/Turn серверы, ПО...",опыт работа администрирование настройка сеть язык программирование python язык запрос sql протокол http ws
120308202,QA-инженер (Manual/auto),Уверенный опыт ручного тестирования. Навыки автоматизации тестов (JavaScript или <highlighttext>Python</highlighttext>). Опыт тестирования API и работы с Postman/curl. ,Проводить ручное тестирование. Создавать и поддерживать автотесты с нуля (JavaScript или <highlighttext>Python</highlighttext> — на выбор). Писать и актуализировать тестовые сценарии (используем...,опыт тестирование навык автоматизация тест javascript python опыт тестирование api работа postman curl
120318585,Middle Backend Разработчик,"Умеет работать с Docker, писать читаемый и масштабируемый код. Понимает, как устроены RAG-системы (или хочет разобраться). Умеет или готов...",,docker код rag - система
120337439,Программист Unity,"...и паттернов проектирования. Технический английский язык. Опыт работы с игровыми движками - желательно. С++ и скриптовых языков (JS, <highlighttext>Python</highlighttext>, Perl) - желательно.","Платформа: PC, iOS, Android. Сети: Facebook, VK, OK и пр. Тип игры: браузерная / мобильная. Жанр: поиск предметов - головоломка (HOG / HOPA). ",паттерн проектирование язык опыт работа движок язык js python perl
120247650,Аналитик DWH,SuperSet knowledge is preferable. Good knowledge of SQL. Basic <highlighttext>python</highlighttext> skills. Experience to collaborate with other internal and external teams...,"Responsible for application development, maintenance and operations of BI and DWH in the IT DevOps team of BMW national sales...",superset knowledge is preferable good knowledge of sql basic python skills experience to collaborate with other internal and external teams
120111330,Junior Python Developer,Basic knowledge of <highlighttext>Python</highlighttext> or 1 year in a role focused on <highlighttext>Python</highlighttext> backend development (perfectly with Django framework). ,"Build and maintain back-end for Improvado's marketing analytics SaaS platform (including architectural improvements regarding scalability, reliability and performance). ",basic knowledge of python or year in a role focused on python backend development perfectly with django framework
120346876,Аналитик SOC/L2 (ИБ),"Будет дополнительным преимуществом опыт программирования на <highlighttext>Python</highlighttext>/Go для автоматизации рутинных задач. Будет дополнительным преимуществом наличие профильных сертификаций (SANS, Offensive...","SOC — это команда, состоящая по большей части из аналитиков по безопасности, в задачи которой входит обнаружение и анализ инцидентов кибербезопасности...",преимущество опыт программирование python go автоматизация задача преимущество наличие сертификация sans offensive
120298695,Backend-разработчик,"Базовое знание любого языка программирования (Go, <highlighttext>Python</highlighttext>, Java, PHP и т.д.). Понимание основ Linux и командной строки. ",Разрабатывать и поддерживать высоконагруженный backend (под руководством опытных коллег). Общее представление о реляционных и NoSQL базах данных.,знание язык программирование go python java php понимание основа linux строка
120330617,QA-инженер/Тестировщик (мобильные приложения),"Работа с Xcode и Android Studio. Базовые навыки программирования (<highlighttext>Python</highlighttext>, Kotlin, Swift). Знание Material Design Guidelines и Apple Design Guidelines.","Проводить функциональное ручное тестирование мобильных приложений, разработанных для наших заказчиков. Проверять готовность и корректность API. Проводить UI-тестирование (сверка с...",работа xcode android studio навык программирование python kotlin swift знание material design guidelines apple design guidelines
119834656,Младший аналитик данных (Junior Data Analyst),"Высшее образование. Опыт работы с данными приветствуется, но не обязателен. Знание Excel на уровне продвинутого пользователя (формулы, сводные таблицы, диаграммы). ","Ведение справочников в Excel. Помощь в подготовке отчетов, дашбордов и презентаций на основе данных. Взаимодействие с командами других отделов (маркетинг...",образование опыт работа данными знание excel уровень пользователь формула таблица диаграмма
120297725,Python-разработчик (Django) Junior,"Высокая самостоятельность, готовность работать без постоянного присмотра наставником. Хорошее владение <highlighttext>Python</highlighttext> и умение оформлять код. Внимательность к деталям и ответственность. ",Находить проблемные места в коде и чинить их. Реализация индивидуальных алгоритмов ценообразования. Мониторинг метрик и логов системы. Писать запросы через...,самостоятельность готовность присмотр наставник владение python умение код внимательность деталь ответственность
119773304,Аналитик,"SQL: продвинутое владение SQL для чтения данных, в том числе уверенное использование сложных запросов и оконных функций. <highlighttext>Python</highlighttext>: уверенное использование...","Разработка и поддержка корпоративных дашбордов. Проверка и оценка бизнес-гипотез. Поиск и анализ аномалий в данных, контроль за качеством данных...",sql владение sql чтение данных число использование запрос функция python использование
118903699,Тестировщик ПО (QA инженер),Опыт тестирования ПО. Базовые навыки разработки на <highlighttext>Python</highlighttext>. Знания основных методик тестирования и тест-дизайна. Опыт работы с инструментами командной...,Сборка и анализ требований к ПО. Разработка тестовых сценариев. Составление тест-планов и методик испытания. Подготовка документации. Участие в разработке...,опыт тестирование по навык разработка python знание методика тестирование тест - дизайн опыт работа инструмент
119316167,Senior QA Engineer,Опыт автоматизации процесса тестирования (написание автоматических тестов). Умение читать и запускать код на <highlighttext>python</highlighttext> или java. Инженерный бэкграунд и опыт...,"Тестировать новые модули и функции продукта. Участвовать в построении процесса тестирования (регресс, смоук, тестирование фичей, процесс выкатки, ретроспектива релиза). ",опыт автоматизация процесс тестирование написание тест умение код python java бэкграунд опыт
119878802,Программист,,"собирает аналитику по звонкам (выборка исходящих звонков среди воронок, этапов нашей CRM и др.). — Возможность стать автором ключевого IT-продукта...", 
119827956,Python-разработчик,Уверенное знание <highlighttext>Python</highlighttext> и его экосистемы. -Опыт работы с Telegram Bot API и разработкой ботов. -Базовые знания командной строки Linux...,"1.Разработка и поддержка Telegram-ботов на <highlighttext>Python</highlighttext> (с использованием aiogram, telebot, pyrogram и тд.). 2.Создание веб-интерфейсов с использованием фреймворков...",знание python экосистема работа telegram bot api разработка бот знание строка linux
120317383,Middle Python-разработчик,с <highlighttext>Python</highlighttext> не менее 2 лет. - с Django не менее 1 года. Понимает принцип работы REST API; Опыт работы.,"с CMS Битрикс. - с системами контроля версий (например, Git). Дорабатывать backend-часть мобильного приложения, написанного на фреймворке django, внедрять новые...",python год django год принцип работа rest api опыт работа
119504455,Manual QA Engineer (тестировщик),Опыт нагрузочного тестирования. Базовые навыки работы с инструментами CI/CD. Знание основ языка программирования (<highlighttext>Python</highlighttext>). Готовность быстро изучать и адаптировать...,Проведение тестирования: Ручное тестирование. Интеграционное тестирование. Составление регрессионной модели и регрессионных тестов. Разработка и поддержка тестовой документации. Разработка отчетности по...,опыт тестирование навык работа инструмент ci cd знание основа язык программирование python готовность
119425985,Тестировщик,"Навыки написания автотестов (например, на JavaScript, TypeScript, <highlighttext>Python</highlighttext>). Понимание CI/CD и тестирования на разных этапах разработки. Опыт ведения тестовой...","Разрабатывать и выполнять ручные и автоматизированные тесты. Тестировать React Native-приложение (iOS, Android). Тестировать бэкенд на Node.js (API, базы данных...",навык написание автотестов javascript typescript python понимание ci cd тестирование этап разработка опыт ведение
120252523,Аналитик данных (BI-аналитик),"Опыт работы с BI-платформами (Tableau, Power BI, Looker и др.). Уверенное владение <highlighttext>Python</highlighttext> и понимание ETL-процессов. ","Оптимизация SQL-запросов (MySQL, recursive CTE, sub-queries). Разработка BI-отчетов и дашбордов. Внедрение аналитики с Cube.js согласно официальной документации. ",опыт работа bi - платформа tableau power bi looker владение python понимание etl - процесс
119912708,QA Engineer,Базовые знания backend и web. Умение работать в команде. <highlighttext>Python</highlighttext> + Requests для автоматизации API. Желание развиваться в автоматизации. ,"Тестированием backend и web-приложений (функциональное, регрессионное, интеграционное). Разработкой и поддержкой тестовой документации (Zephyr). Анализом требований, участием в составлении ТЗ. ",знание backend web умение команда python requests автоматизация api желание автоматизация
